City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Airai,TL,2022-09-02 03:36:05,-8.9266,125.4092,78.42,39,2,5.91
243,Vila Velha,BR,2022-09-02 03:31:21,-20.3297,-40.2925,63.95,87,20,3.0
244,Nikolskoye,RU,2022-09-02 03:36:06,59.7035,30.7861,48.78,89,100,9.51
245,Vardo,NO,2022-09-02 03:36:06,70.3705,31.1107,46.38,81,100,20.71
246,Rio Claro,BR,2022-09-02 03:36:06,-22.4114,-47.5614,59.72,39,0,4.74
247,Iglesias,IT,2022-09-02 03:36:06,39.3114,8.535,65.62,57,90,2.26
248,Grindavik,IS,2022-09-02 03:36:07,63.8424,-22.4338,46.87,87,0,11.5
249,Villa Carlos Paz,AR,2022-09-02 03:36:07,-31.4241,-64.4978,56.82,25,1,8.01
250,Sicuani,PE,2022-09-02 03:36:07,-14.2694,-71.2261,44.83,76,54,1.59
251,Camana,PE,2022-09-02 03:36:07,-16.6228,-72.7111,58.82,83,77,10.58
252,Panzhihua,CN,2022-09-02 03:36:08,26.5851,101.7128,69.39,79,99,3.0
253,Vaitape,PF,2022-09-02 03:36:08,-16.5167,-151.75,78.87,68,1,15.14
254,Beni Mazar,EG,2022-09-02 03:36:08,28.4962,30.8029,75.45,68,0,11.88
255,Talnakh,RU,2022-09-02 03:36:09,69.4865,88.3972,43.21,63,31,1.05
256,Aksu,CN,2022-09-02 03:36:09,41.1231,80.2644,78.35,29,9,1.66
257,Den Helder,NL,2022-09-02 03:33:02,52.9599,4.7593,60.78,74,100,8.05
258,Pocone,BR,2022-09-02 03:36:09,-16.2567,-56.6228,79.45,29,0,5.64
259,Lompoc,US,2022-09-02 03:32:53,34.6391,-120.4579,64.58,82,0,8.05
260,Bonthe,SL,2022-09-02 03:36:10,7.5264,-12.505,73.58,92,99,5.37
261,Tiksi,RU,2022-09-02 03:36:10,71.6872,128.8694,39.61,83,100,24.27
262,Butembo,CD,2022-09-02 03:36:10,0.15,29.2833,56.61,96,99,1.43
263,Rawson,AR,2022-09-02 03:36:10,-43.3002,-65.1023,49.12,42,0,5.73
264,San Policarpo,PH,2022-09-02 03:36:11,12.1791,125.5072,88.3,66,100,13.44
265,Linhares,BR,2022-09-02 03:36:11,-19.3911,-40.0722,59.99,87,3,2.33
266,Katsuura,JP,2022-09-02 03:36:11,35.1333,140.3,79.39,86,78,4.09
267,Raga,SS,2022-09-02 03:36:12,8.4596,25.678,67.68,98,98,4.45
268,Okhotsk,RU,2022-09-02 03:36:12,59.3833,143.3,60.21,72,64,4.23
269,Bac Lieu,VN,2022-09-02 03:36:12,9.285,105.7244,87.12,67,86,7.45
270,Invermere,CA,2022-09-02 03:36:12,50.5167,-116.0354,69.37,34,36,3.0
271,Batagay,RU,2022-09-02 03:36:13,67.6333,134.6333,50.5,47,100,3.38
272,Chulym,RU,2022-09-02 03:36:13,55.0997,80.9572,54.07,82,100,11.77
273,Seoul,KR,2022-09-02 03:35:06,37.5683,126.9778,81.97,45,0,12.66
274,Pilar,BR,2022-09-02 03:36:13,-9.5972,-35.9567,69.73,89,10,4.16
275,Tessalit,ML,2022-09-02 03:36:13,20.1986,1.0114,85.48,44,14,12.44
276,Dharchula,IN,2022-09-02 03:36:14,29.85,80.5333,78.4,78,58,3.33
277,Chadan,RU,2022-09-02 03:36:14,51.2833,91.5833,68.54,39,49,4.41
278,Kollo,NE,2022-09-02 03:36:14,13.3043,2.339,77.43,85,86,7.67
279,Kendal,GB,2022-09-02 03:36:14,54.3268,-2.7476,56.61,93,1,4.88
280,Bagdarin,RU,2022-09-02 03:36:15,54.4333,113.6,58.42,66,98,5.88
281,Kutno,PL,2022-09-02 03:36:15,52.2306,19.3641,52.11,80,5,6.58
282,Olafsvik,IS,2022-09-02 03:36:15,64.8945,-23.7142,47.66,76,20,23.82
283,Aklavik,CA,2022-09-02 03:36:16,68.2191,-135.0107,61.48,56,100,6.8
284,Lewistown,US,2022-09-02 03:36:16,40.5992,-77.5714,64.18,100,0,0.0
285,Aykhal,RU,2022-09-02 03:36:16,66.0,111.5,37.51,99,100,12.26
286,Loandjili,CG,2022-09-02 03:36:17,-4.7561,11.8578,73.51,88,75,2.3
287,Kargasok,RU,2022-09-02 03:36:17,59.0556,80.8572,50.72,63,39,9.6
288,Richards Bay,ZA,2022-09-02 03:34:25,-28.783,32.0377,60.39,69,0,14.05
289,State College,US,2022-09-02 03:36:17,40.7934,-77.86,61.81,82,0,0.0
290,Geraldton,AU,2022-09-02 03:31:21,-28.7667,114.6,64.81,32,100,21.85
