City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Itoman,JP,84.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
401,Chicama,PE,59.54,few clouds,-7.8447,-79.1469,Balihai Bungalows
403,Smithers,CA,57.52,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
404,Agua Dulce,MX,78.46,scattered clouds,18.1333,-94.1333,Hotel Victoria
409,Sao Filipe,CV,80.04,light rain,14.8961,-24.4956,Hotel Xaguate
410,Luangwa,ZM,64.9,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
412,Laem Sing,TH,84.42,overcast clouds,12.4816,102.0738,Laem Sing Whitehouse Resort
414,Esil,KZ,65.79,overcast clouds,51.9556,66.4042,Egorkino Hotel
415,Stromness,GB,58.96,overcast clouds,58.965,-3.296,The Old Smokery
416,Demba,CD,69.98,clear sky,-5.51,22.2667,Guest House Du Cinquantenaire
417,Iberia,US,80.1,overcast clouds,29.9502,-91.7507,back to back rv park
418,Kinablangan,PH,81.05,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
420,Bismil,TR,78.53,clear sky,37.8486,40.6658,Hotel Dolay
422,Lethem,GY,78.96,overcast clouds,3.3803,-59.7968,Savannah Inn
423,Jinchang,CN,68.34,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
424,Gouyave,GD,83.17,broken clouds,12.1646,-61.7296,Rumboat Retreat
425,Tempio Pausania,IT,67.12,clear sky,40.8974,9.1035,Hotel Pausania Inn
426,Kapuskasing,CA,62.69,scattered clouds,49.4169,-82.4331,Park Inn Motel
427,Ryotsu,JP,81.79,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
428,Louny,CZ,62.44,overcast clouds,50.357,13.7967,Hotel Caramell
429,Konya,TR,59.86,light rain,38.1667,32.5,Meydan Ahmet Muhtar
431,Vitoria Do Mearim,BR,76.91,few clouds,-3.4622,-44.8706,HOTEL VITÓRIA IMPORTADOS
432,Hami,CN,78.76,clear sky,42.8,93.45,Laoyutang Resort
434,Yaypan,UZ,75.02,clear sky,40.3758,70.8156,Pastqòriq
435,Guadalupe Y Calvo,MX,57.58,overcast clouds,26.1,-106.9667,Hotel Pizarro
436,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
437,Poronaysk,RU,60.01,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
438,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
439,Pundaguitan,PH,82.53,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
442,Roald,NO,57.33,overcast clouds,62.5833,6.1333,Flem Cabins
447,Terrasini,IT,80.17,clear sky,38.146,13.0844,Florio Park Hotel
448,Faanui,PF,78.08,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
449,Longhua,CN,83.41,overcast clouds,23.6137,114.1919,Huadu Hotel
450,Bedesa,ET,60.96,light rain,8.9,40.7833,Huzefa Adam
451,Gasa,PS,71.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
452,Bud,US,75.15,broken clouds,39.447,-86.1758,Ted McQuinn Trust
453,Wewak,PG,83.75,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
454,Kalmunai,LK,77.77,light rain,7.4167,81.8167,VS Villa
458,Alcala De Henares,ES,71.53,clear sky,40.4821,-3.36,AC Hotel by Marriott Alcala de Henares
459,Port-Gentil,GA,75.79,scattered clouds,-0.7193,8.7815,Fengshui Residence
461,Nemuro,JP,66.83,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
462,Noshiro,JP,79.63,overcast clouds,40.2039,140.0242,Suigetsu
463,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
