City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,High Level,CA,58.5169,-117.136,59.11,72,75,3.44,broken clouds
331,Astoria,US,46.1879,-123.8313,69.69,71,0,16.11,clear sky
332,Pevek,RU,69.7008,170.3133,32.94,99,100,3.78,light snow
333,Nyurba,RU,63.2842,118.3319,46.06,88,100,7.81,overcast clouds
334,Ormond Beach,US,29.2858,-81.0559,85.01,84,75,3.44,broken clouds
335,Troitsko-Pechorsk,RU,62.7084,56.1964,41.63,92,100,4.32,overcast clouds
336,Mandalgovi,MN,45.7625,106.2708,58.1,43,6,7.67,clear sky
337,Waingapu,ID,-9.6567,120.2641,83.12,64,100,9.53,overcast clouds
338,San Francisco,US,37.7749,-122.4194,112.51,55,20,16.11,few clouds
339,Kirakira,SB,-10.4544,161.9205,85.84,65,5,9.35,clear sky
340,Ranong,TH,9.9658,98.6348,76.93,92,100,9.78,overcast clouds
341,Okha,RU,53.5739,142.9478,57.83,86,100,14.88,overcast clouds
342,Caluquembe,AO,-13.7833,14.6833,60.73,58,24,2.21,few clouds
343,Paamiut,GL,61.994,-49.6678,39.38,98,100,7.74,light rain
344,Toora-Khem,RU,52.4675,96.11,52.2,79,100,1.72,overcast clouds
345,Inuvik,CA,68.3499,-133.7218,41.86,81,100,14.97,overcast clouds
346,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,75,24.16,broken clouds
